222,qw qw,11/11/2019,22:12:38,5
222,qw qw,11/11/2019,22:12:39,4
222,qw qw,11/11/2019,22:12:48,5
222,qw qw,11/11/2019,22:12:49,4
222,qw qw,11/11/2019,22:12:51,5
222,qw qw,11/11/2019,22:12:53,5
222,qw qw,11/11/2019,22:12:56,5
222,qw qw,11/11/2019,22:12:57,4
222,qw qw,11/11/2019,22:12:58,5
222,qw qw,11/11/2019,22:12:59,4
222,qw qw,11/11/2019,22:13:00,5
222,qw qw,11/11/2019,22:13:01,5
222,qw qw,11/11/2019,22:13:02,5
222,qw qw,11/11/2019,22:13:06,5
222,qw qw,11/11/2019,22:13:12,5
222,qw qw,11/11/2019,22:13:14,5
222,qw qw,11/11/2019,22:13:21,5
222,qw qw,11/11/2019,22:13:22,5
222,qw qw,11/11/2019,22:13:23,5
222,qw qw,11/11/2019,22:13:27,3
222,qw qw,11/11/2019,22:13:28,5
